"","LAT","LONG","class","name"
"503",57.3768,26.49166,3,"intensive"
"504",57.43544,26.58678,3,"intensive"
"505",57.37075,26.66015,3,"intensive"
"506",57.37983,26.7329,3,"intensive"
"507",57.33665,26.78164,3,"intensive"
"508",57.56756,26.99226,3,"intensive"
"509",56.79015,22.91396,3,"intensive"
"510",56.83981,22.96442,3,"intensive"
"511",56.80608,25.429921,3,"intensive"
"512",56.80264,23.15169,3,"intensive"
"513",56.77513,23.24206,3,"intensive"
"514",56.44475,23.25902,3,"intensive"
"515",56.53813,25.52024,3,"intensive"
"516",56.35938,25.48027,3,"intensive"
"517",56.33416,25.5364,3,"intensive"
"518",56.22256,25.55661,3,"intensive"
"519",56.79036,25.86056,3,"intensive"
"520",57.09297,26.67032,3,"intensive"
"521",57.08465,26.73459,3,"intensive"
"522",56.88898,26.68004,3,"intensive"
"523",57.1675,26.80653,3,"intensive"
"524",56.8326,26.68847,3,"intensive"
"525",56.58472,26.61155,3,"intensive"
"526",56.65434,26.64246,3,"intensive"
"527",56.7414,26.68132,3,"intensive"
"528",56.81103,26.71256,3,"intensive"
"529",56.86324,26.73611,3,"intensive"
"530",57.17649,26.8788,3,"intensive"
"531",56.78946,26.73665,3,"intensive"
"532",56.59381,26.68273,3,"intensive"
"533",56.6816,26.72074,3,"intensive"
"534",57.15067,26.93526,3,"intensive"
"535",57.18545,26.95129,3,"intensive"
"536",56.60706,26.72225,3,"intensive"
"537",56.64189,26.73779,3,"intensive"
"538",56.79853,26.80829,3,"intensive"
"539",56.65661,27.18222,3,"intensive"
"540",57.13409,27.61061,3,"intensive"
"541",56.64385,27.41231,3,"intensive"
"542",56.90874,21.2539,3,"intensive"
"543",56.60357,26.88874,3,"intensive"
"544",56.95139,27.04747,3,"intensive"
"545",57.07305,27.10388,3,"intensive"
"546",56.61674,26.9283,3,"intensive"
"547",56.66894,26.95199,3,"intensive"
"548",56.92974,27.07142,3,"intensive"
"549",56.9819,27.09553,3,"intensive"
"550",57.01666,27.11168,3,"intensive"
"551",57.1383,27.16844,3,"intensive"
